h	/eItF; etF/	abbr.|指铅笔中的铅心）硬的|
hosea		n.|希伯来的先知|
hosel		n.|使用水龙带的消防人员|
hosen		|短袜,蛇管|
hospital	/5hCspItl; hBspItl/	n.|医院|
host	/hEUst; host/	n.|大群；众多；许多（人或事物）|
hosta		n.|玉簪属植物|
hostage		n.|人质|
hostile		adj.|敌对的|
hot	/hCt; hBt/	adj.|热的；烫的|
hotch		v.|(使)坐立难安|
hotel	/hEU5tel; hotZl/	n.|旅社；旅馆|
hotly		adv.|热烈地；激动地；愤怒地|
hough		n.|踝关节|
hound	/haUnd; haJnd/	n.|猎犬；猎狐狗|
hour	/5aUE(r); aJr/	n.|小时|
houri	/5hUErI; hJrI/	n.|伊斯兰教）天堂的美女|
house	/haUs; haJs/	n.|房子；住宅；见附录；插图；通常作；住在一所房子中的人们；家人|
household		n.|家庭|
housewife		n.|家庭主妇|
housing		n.|住房|
hove		vbl.|heave的过去式和过去分词|
hovel	/5hCvl; ?@ 5hQvl; hQvl/	n.|不适於居住的小屋；简陋肮脏的住所|
hover	/5hCvE(r); ?@ 5hQvEr; hQvL/	v.|指鸟等）遨翔；盘旋|
how	/haU; haJ/	adv.|怎样；多么|
howdy		int.|您好(招呼用语)|
howe		n.|洞|
howff		n.|住宅|
howie		n.|豪伊 (Howard 的异体)(m.)|
howl	/haUl; haJl/	n.|狗、 狼等的）尖利的长嚎；叫；表示疼痛、 轻蔑、 高兴等的）高声叫喊|
hoy		int.|嗬!|
hoya		n.|'=waxplant|
hoyle		n.|纸牌游戏法|
hoyt		n.|霍伊特(m.)|
hp	/9eItF 5pi:; 9etF pi/	abbr.|用分期付款方式购买一台新电视机|
hpgc		|heading per gyrocompass [海]按陀螺罗经航向|
hpna		|Home Phoneline Networking Alliance,家庭电话线组网联盟|
hpv		|human papillomavirus [微]人乳头状瘤病毒|
hq	/9eItF 5kju:; 9etF kju/	abbr.|咱们回到总部见面；警察总局|
hqmc		|Headquarters,Marine Corps (美国)海军陆战队司令部|
hr		abbr.|最快班次；小时；列车；点整发车；参看|
hrh	/9eItF B:(r) 5eItF; 9etF Br etF/	abbr.|殿下（用於他称）|
hrip		|<拉> hic requiescit in pace 在此安息(=here rests in peace)|
hrs		|hours|
hsaa		|Health Sciences Advancement Award (美国)保健科学促进奖|
hsf		|Horizontal Scanning Frequency,水平扫描频率|
hsh		|His (或 Her) Serene Highness 尊贵的殿下(间接提及时用)|
hsia		n.|<汉>夏朝(约公元前21世纪到公元前16世纪左右)|
hsien		n.|<汉>县|
hsus		|Humane Society of United States 美国仁慈协会|
hsv		|HSV色彩模型(Hue 色度,Saturation 饱和度,Value 纯度)|
html		|Hypertext Markup Language,超文本链接标示语言|
htr		|high temperature reactor [核]高温(反应)堆|
http		|Hypertext Transfer Protocol,超文本传输协议|
httpd		|全球网服务器软件|
hua		adv.|愚蠢地|
hub	/hQb; hQb/	n.|轮毂；见附录；插图|
hubby	/5hQbI; hQbI/	n.|丈夫|
hubei		|湖北(位于中国中南部、长江中游)|
huck		n.|'=huckaback|
hud		|(Department of) Housing and Urban Development (美国)住房和城市发展部|
hue	/hju:; hju/	n.|颜色；色彩；色调；色度|
hued		adj.|有某种色调的|
huff	/hQf; hQf/	n.|通常作；一阵恼火（以下示例）|
huffy		adj.|发怒的|
hufuf		|'=Hofuf|
hug	/hQg; hQ^/	v.|紧紧抱住（某人[某物]）；尤指示爱）拥抱；搂抱|
huge	/hju:dV; hjudV/	adj.|极大的；巨大的|
huh	/hQ; hQ/	|用以表示轻蔑、 厌恶、 疑问等|
hula		n.|呼拉圈舞|
hulda		n.|赫尔达(f.)|
hulk	/hQlk; hQlk/	n.|废弃的旧船的）船体|
hull	/hQl; hQl/	n.|船体；船身|
hullo		n.|喂声|
huly		adj.|&|
hum	/hQm; hQm/	v.|发嗡嗡声（如蜜蜂的声音）；发嗯嗯声（尤表示犹豫）；哼（曲子）|
human	/5hju:mEn; hjumEn/	adj.|人的；显示人的本性的（以别於神的、 动物的或机器的）|
humanity		n.|人性|
humble		adj.|谦逊的|
humic		adj.|腐殖的 从腐殖质中提取的|
humid	/5hju:mId; hjumId/	adj.|指空气或气候）潮湿的；湿润的|
humor		n.|幽默|
humorous		adj.|幽默的|
hump	/hQmp; hQmp/	n.|骆驼等的）峰；见；插图；人的）驼背|
humph	/hQmpf, hEh; hQmpf/	|通常为双唇闭拢发出的轻微的哼声；用以表示怀疑或不满|
humpy		adj.|多隆肉的(或驼峰)一般的|
humus	/9hju:mEs; hjumEs/	n.|腐殖质|
hun	/hQn; hQn/	n.|匈奴人|
hunan		|湖南(位于中国中南部、长江中游)|
hunch	/hQntF; hQntF/	n.|基於直觉的想法|
hundred	/5hQndrEd; hQndrEd/	pron.|用於；或含有数量意义的词之後；一百（个）|
hundreds of		adj.|数百|
hung		vbl.|hang的过去式和过去分词|
hunger		n.|饥饿|
hungry	/5hQNgrI; hQN^rI/	adj.|饥饿的；挨饿的|
hunk	/hQNk; hQNk/	n.|切下的）大块；大片（尤指食物）|
hunks		n.|守财奴|
hunky		n.|匈牙利人|
hunt	/hQnt; hQnt/	v.|打猎；猎取（野生禽兽）|
huon		|pine [植]富兰克林氏泪柏(澳洲塔斯马尼亚产,其木材造船等用)|
hup		int.|'=hep|
hupeh		|见 Hubei|
hurds		|[复]|
hurl	/h\:l; h[l/	v.|用力扔（某物）；用力摔（某人）；猛扑|
hurly		n.|骚动|
huron		n.|休伦湖(北美五大湖中的第二大湖)|
hurricane		n.|飓风|
hurry	/5hQrI; hQrI/	n.|匆忙；急忙|
hurry up		v.|赶快|
hurst		n.|小林|
hurt	/h\:t; h[t/	v.|伤害；疼痛|
husband		n.|丈夫|
hush	/hQF; hQF/	v.|安静下来|
husk	/hQsk; hQsk/	n.|某些种子和果实的）外壳；外皮（尤指谷类的）|
husky	/5hQskI; hQskI/	adj.|指人或嗓音）喉咙发乾的；沙哑的|
hussy	/5hQsI; hQsI/	n.|旧|
hut	/hQt; hQt/	n.|简陋的小房子；棚；舍（通常为木头或金属建造的）；参看|
hutch	/hQtF; hQtF/	n.|正面有铁丝网的箱或笼；尤指）兔笼|
hutu		n.|'=Bahutu|
huzza		int.|表示大喜|
huzzy		n.|'=hussy|
hvar		|high velocity aircraft rocket 机载高速火箭,高速航空火箭|
hwan		n.|圆(韩国货币单位)|
hwyl		n.|(尤指作为威尔士人特征的)炽热感情 雄辩|
hy		n.|海(Hyman 的昵称)(m.)  henry|
hyde		|海德(即 Clarendon,Edward Hyde)|
hydel		adj.|<印英>水力发电的|
hydra	/5haIdrE; haIdrE/	n.|希腊神话中的）蛇怪（长著许多头；斩去後能重新长出）|
hydri		|Hydrus 的所有格|
hydro		n.|水疗院|
hydrogen		n.|氢|
hyena	/haI5i:nE; haIinE/	n.|鬣狗（产於非洲和亚洲；似狼；食肉；叫声似狂笑）|
hyfil		n.|海菲尔(一种以碳纤维加强的塑料或树脂的商标名)|
hying		vbl.|hie的现在分词及动名词|
hyla		n.|[动]雨蛙|
hylic		adj.|[哲]物质的|
hyman		n.|海曼(m.)|
hymen	/5haImEn; haImEn/	n.|解；处女膜|
hymn	/hIm; hIm/	n.|赞美诗；圣歌（尤指基督徒为颂扬上帝而唱的）|
hyoid		adj.|[解剖]U字形的|
hyp		|<废>|
hype	/haIp; haIp/	n.|俚；天花乱坠的宣传报道|
hyper		|前缀；与形容词和名词结合；过度；在；上；高於|
hypha		n.|[植]菌丝|
hypo		n.|[摄影]硫化硫酸钠|
hypothesis		n.|假设|
hyrax		n.|蹄兔|
hyson		n.|熙春茶(中国绿茶的一种)|
hyte		adj.|<苏><古>疯狂的|
hz		abbr.|参看|
