i	/aI; aI/	pron.|人称代词；用作动词的主体；我（说话者或写作者称自己）|
isis		n.|伊希斯(古代埃及司生育和繁殖的女神)|
iskar		|伊斯克河[保加利亚西北部](多瑙河支流)|
isker		|'=Iskar|
islam	/Iz5lB:m; ?@ 5IslB:m; IslBm/	n.|伊斯兰教；回教|
island	/5aIlEnd; aIlEnd/	n.|岛|
isle	/aIl; aIl/	n.|诗歌和专有名词中；岛|
islet	/5aIlIt; aIlIt/	n.|小岛|
ism	/5IzEm; IzEm/	n.|通常作义；主义；学说；制度|
ismec		|机械工程情报服务|
isn		|internal statement number [计] 内码|
iso	/9aI es 5EU; 9aI Zs o/	abbr.|国际标准化组织；参看|
isolate		v.|隔离|
isolt		n.|'=Isolde|
isp		|Internet Service Providers,互联网服务提供商|
ispy		n.|<主英> 一种捉迷藏游戏|
isro		n.|<美俚>以色罗(一种类似埃弗罗发式|
issa		n.|(东北非的)伊萨人|
issei		n.|第一代移居北美的日本人|
issp		|政策计划情报系统|
issue	/5IFu:, 5Isju:; IFJ/	n.|放出；发出；流出|
ist		|insulin shock therapy 胰岛素休克疗法|
istle		n.|中、南美洲产的各种热带植物纤维|
isv		|independent software vendor,独立软件开发商|
it	/It; It/	pron.|它|
it'd	/5ItEd; ItEd/	|缩约式|
it'll	/5Itl; Itl/	|缩约式|
it's	/Its; Its/	|缩约式|
ita	/9aI ti: 5eI; 9aI ti e/	abbr.|启蒙教学字母|
italo		|构词成分；意大利的|
italy		n.|意大利(欧洲南部国家)|
itch	/ItF; ItF/	n.|通常作；痒|
itchy		adj.|发痒的|
itcz		|Intertropical Convergence Zone|
item	/5aItEm; aItEm/	n.|条款；项目|
ither		pron.|&|
ithun		n.|'=Idun|
itinerary		n.|行程|
itn	/9aI ti: 5en; 9aI ti Zn/	abbr.|独立电视新闻公司|
ito		|International Trade Organization|
itr		|Internet Talk Radio,国际互联网广播台;Internal Transfer Rate,内部传输速率|
its	/Its; Its/	pron.|它的|
itt	/9aI ti: 5ti:; 9aI ti ti/	abbr.|国际电话电报公司|
ittf		|International Table Tennis Federation 国际乒乓球联合会|
itu		|International Telecommunications Union,国际电信联盟|
itv	/9aI ti: 5vi:; 9aI ti vi/	abbr.|独立电视公司|
iu		|international unit(s)|
iucd		|intrauterine contraceptive device|
iula		|世界地方自治联盟|
iupac		|International Union of Pure and Applied Chemistry 国际理论和应用化学联合会|
iupap		|International Union of Pure and Applied Physics 国际理论和应用物理学联合会|
ius		|International Union of Students 国际学生联合会|
iv		|intravenous 静脉内的|
ivan		n.|男人名|
ivb		|invalidity benefit|
ivba		|International Volleyball Association 国际排球协会|
ivied	/5aIvId; aIvId/	adj.|爬满常春藤的|
ivory	/5aIvErI; aIvErI/	n.|象牙；海象等的）长牙|
ivr		|Interactive Voice Response,交互式语音响应|
ivy	/5aIvI; aIvI/	n.|常春藤|
iwis		adv.|的确地|
iww		|Industrial Workers of the World 世界产业工人组织|
ixia		n.|[植]鸢属科属植物|
ixion		n.|[希神]伊克西翁(拉庇泰王)|
ixtle		n.|'=istle|
iyar		n.|(历法)依雅尔月(即犹太教历2月,犹太国历8月,在公历4、5月间,共29天)|
iyft		|Informtion at Your Finger Tip  信息随手可得(Bill Gates语)|
izar		n.|(伊斯兰教的)伊扎尔(指女穆斯林穿的可遮蔽全身的棉布外衣)|
izard		n.|一种羚羊|
izba		n.|'=isba|
izzat		n.|<印地> 个人尊严|
