b	/bi:; bi/	abbr.|指铅笔心）黑色色重的（因质软之故）|
binge	/bIndV; bIndV/	n.|大吃大喝的）狂欢|
bingo	/5bINgEU; bIN^o/	n.|宾戈（一种赌博游戏）|
bingy		n.|肚子|
binit		n.|'=binary digit|
bio		|(尤其供公开发表的)个人简历(biography的缩写)|
biography		n.|传记|
biologist		n.|生物学家|
biology		n.|生物|
biome		n.|(生态)生物群系|
bion		|彼翁(在世期100BC,古希腊田园诗人,作品仅有<<田园诗>>残篇传世)|
bios		|Basic Input Output System,基本输入输出系统|
biota		n.|[生态]生物区|
biped	/5baIped; baIpZd/	n.|二足动物|
bipod		n.|两脚台|
bir		|Board of Inland Revenue (英国)国内税收局|
birch	/b\:tF; b[tF/	n.|白桦树；桦木；见附录；之插图|
bird	/b\:d; b[d/	n.|鸟；禽；见附录；之插图|
birds of a feather flock together		n.|物以类聚|
birdy		adj.|如鸟的|
biro		n.|圆珠笔的一种|
birth	/b\:W; b[W/	n.|分娩；出生；生育|
bis		adv.|二度|
biscuit		n.|饼干|
bise		n.|寒风|
bishop		n.|主教|
bisk		n.|浓汤|
bison	/5baIsn; baIsn/	n.|不变|
bist		n.|阿拉伯学者|
bit	/bIt; bIt/	n.|小块；少量|
bit by bit		adv.|一点一点|
bitch	/bItF; bItF/	n.|雌性的）狗、狐、獭或狼|
bite	/baIt; baIt/	v.|咬；叮|
bite off more than one can chew		v.|贪多嚼不烂|
bite the bullet		v.|硬着头皮|
biter		n.|咬人的动物|
bitsy		adj.|<口>小的|
bitt		n.|缆柱|
bitter		adj.|苦的|
bitty		adj.|通常作义；拼凑的；零碎的|
bivvy		n.|<军俚>临时营帐|
biwa		|Lake 琵琶湖[日本本州岛中西部]|
biz		n.|[计] (=business) 商业(新闻组)|
bizen		|ware(日本)备前窑陶器|
bk		abbr.|流线；第二册|
bks		|Barracks|
bla		|Bachelor of Liberal Arts 文(科)学士|
blab	/blAb; blAb/	v.|因不慎的谈吐而泄漏秘密；认错|
black	/blAk; blAk/	adj.|黑的；黑色的|
black and blue		adj.|青一块紫一块|
black sheep		n.|害群之马|
blackboard		n.|黑板|
blade	/bleId; bled/	n.|刀、剑、凿等的）刃|
blae		adj.|<方>深蓝色的 青灰色的|
blaff		n.|烩鱼汤|
blah	/blB:; blB/	n.|冠冕堂皇的废话|
blahs		|(=the blahs)厌烦,抑郁,不适|
blain		n.|[医]脓疱|
blair		n.|布莱尔(m.)|
blame	/bleIm; blem/	v.|责备；责怪；指责；埋怨；归咎於|
bland	/blAnd; blAnd/	adj.|雅的；随和的；不动感情；和蔼的|
blank	/blANk; blANk/	adj.|空白的；无痕迹的|
blanket		n.|毯子|
blare	/bleE(r); blZr/	v.|发出像喇叭一样响亮刺耳的声音|
blase	/5blB:zeI; ?@ blB:5zeI; blBze/	adj.|腻烦的|
blast	/blB:st; ?@ blAst; blAst/	n.|爆炸；由爆炸所引起具有破坏力的）气浪；冲击波|
blat		vi.|. (小牛或小羊)叫|
blate		adj.|<苏格兰>羞答答的|
blaw		v.|<苏格兰>=blow|
blay		n.|'=bleak|
blaze	/bleIz; blez/	n.|火焰；火光|
blc		|boundary layer control [空]附面层控制|
bldg		abbr.|工程学大楼（如大学校园内的）|
ble		|Brotherhood of Locomotive Engineers (美国)火车司机兄弟会|
bleak	/bli:k; blik/	adj.|指景物）荒凉的；裸露的；光秃秃的|
blear		v.|模糊|
bleat	/bli:t; blit/	n.|羊或牛犊的叫声；类似羊或牛犊叫的声音|
bleb		n.|水泡|
bled		vbl.|流血|
bleed	/bli:d; blid/	v.|流血|
bleep	/bli:p; blip/	n.|为引人注意使电子装置发出的）短促高音|
blend	/blend; blZnd/	v.|混合；搀和|
blent		vbl.|blend的过去式及过去分词|
bless	/bles; blZs/	v.|求神赐福於（某人[某事物]）；求神保佑|
blessing in disguise		n.|因祸得福|
blest		adj.|神圣的|
blet		n.|(果实过热或外表看不出来的)腐烂|
bleu		|<法>|
blew		vbl.|blow的过去式和过去分词|
blida		|卜利达[阿尔及利亚北部城市]|
blimp	/blImp; blImp/	n.|无刚性构架的）小型飞艇|
blimy		int.|'=blimey|
blin		n.|(与鱼子酱、酸乳酪等同吃的)俄式薄煎饼|
blind	/blaInd; blaInd/	adj.|瞎的|
blink	/blINk; blINk/	v.|眨眼|
bliny		|blin 的复数|
blip	/blIp; blIp/	n.|雷达屏幕上的）光点|
bliss	/blIs; blIs/	n.|洪福；极乐|
blitz	/blIts; blIts/	n.|闪击；尤指）空袭|
blm		|Bureau of Land Management(美国内政部)土地管理局|
bloat		vt.|使膨胀|
blob	/blCb; blBb/	n.|液体（尤指浓液）的一滴；颜料的小圆块或小圆点|
bloc	/blCk; blBk/	n.|国家或政党的）集团|
block	/blCk; blBk/	n.|木、石、金属等的）大块（通常为有平面的）|
bloke	/blEUk; blok/	n.|人；家伙|
blond	/blCnd; blBnd/	n.|有金黄色或浅色头发的（人）|
blonde		adj.|金发的|
blood	/blQd; blQd/	n.|血|
blood is thicker than water		n.|血浓于水|
bloody		adj.|血腥的|
bloom	/blu:m; blum/	n.|花（尤指主要供观赏的；如玫瑰、郁金香、菊花）|
bloop		v.|做蠢事|
blossom		n.|花朵|
blot	/blCt; blBt/	n.|墨水等的）污点或污迹|
blouse		n.|女衬衫|
blove		n.|蓝色|
blow	/blEU; blo/	v.|用於下述第；义时作|
blow away		v.|吹走|
blow down		v.|吹倒|
blow off		v.|吹掉|
blow out		v.|吹灭|
blow up		v.|爆炸|
blown		vbl.|blow的过去分词|
blowy		adj.|多风的|
blt		|bacon,lettuce and tomato ,火腿、莴苣、番茄三明治|
blub		vi.|哭|
blue	/blu:; blu/	adj.|蓝色的；天蓝色的；蔚蓝的；青色的|
blue blood		n.|贵族血统|
blueprint		n.|蓝图|
blues		n.|抑郁|
bluet		n.|[植]开蓝花的植物|
bluff	/blQf; blQf/	v.|虚张声势；吓唬（某人）|
blunt	/blQnt; blQnt/	adj.|不锋利的；不尖的；钝的|
blur		v.|涂污|
blurb	/bl\:b; bl[b/	n.|出版者对书的）内容简介（通常印在护封或封底上）|
blurt	/bl\:t; bl[t/	v.|脱说出|
blush	/blQF; blQF/	v.|因某事物）脸红|
bly		|Nellie 布莱(Elizabeth (Cochrane) Seaman 的笔名)|
bma	/9bi: em 5eI; 9bi Zm e/	abbr.|英国医学会|
bmc		|British Medical Council 英国医学委员会|
bmd		|ballistic missile defence 弹道导弹防御|
bmds		|ballistic missile defence system 弹道导弹防御系统,防弹道导弹系统|
bmj		|British Medical Journal <<英国医学杂志>>|
bmoc		|big man on (the) campus <美><学俚>校内大人物|
bmr		|basal metabolic rate|
bms		|Bachelor of Marine Science,海洋科学学士;Black Matrix Screen,超黑矩阵屏幕|
bmta		|British Motor Trade Association 英国汽车同业公会|
bmv		|Blessed Mary the Virgin [宗]圣母马利亚|
bmw		|Bavarian Motor Works,德国宝马汽车公司|
bmx		|bicycle motocross,自行车越野赛|
bn		abbr.|科尔德斯特里姆卫队第一营|
bnd		|<德>Bundesnachrichtendienst (德意志联邦共和国) 联邦情报局 (=Federal Intelligence Service)|
bndd		|Bureau of Narcotics and Dangerous Drugs(美国司法部)麻醉品和危险药品管理局|
bnfl		|British Nuclear Fuels,Limited 英国核燃烧(股份有限)公司|
bnoc		|British National Oil Corporation 英国国家石油公司|
bo	/9bi: 5EU; 9bi o/	|体臭；狐臭|
boa	/5bEUE; boE/	n.|蟒；蟒蛇（产於南美洲）；见；之插图|
boar	/bR:(r); bRr/	n.|或不变或作|
board	/bR:d; bRrd/	n.|长而薄的）木板（用於建造墙壁、地板、船身等）|
boart		n.|'=bort|
boast	/bEUst; bost/	v.|自夸；自吹自擂|
boat	/bEUt; bot/	n.|使用桨、帆或发动机驱动的）小船|
boaz		n.|波阿斯(基督教<<圣经·路得记>>故事人物,Ruth之夫)|
bob	/bCb; bBb/	v.|上下疾动（尤指在水上）|
bobby	/5bCbI; bBbI/	n.|警察|
bocce		n.|'=boccie|
boche		n.|<蔑>德国人|
bock		n.|烈性黑啤酒|
bod	/bCd; bBd/	n.|人（尤指男子）|
bode	/bEUd; bod/	v.|不用於被动语态；或旧；预示|
bodhi		|tree 菩提树(佛教的圣树,相传佛祖在此树下得道成佛)|
body	/5bCdI; bBdI/	n.|人或动物的）身体；身躯|
boehm		adj.|(19世纪德国长笛演奏家)勃姆式的|
boer	/bR:(r); bRr/	n.|旧时）荷兰裔非洲人；布尔人|
bof		|basic oxygen furnace[冶]碱性氧气转炉|
boff		n.|高声笑|
boffo		adj.|<美俚> 风行一时的|
bog	/bCg; bB^/	n.|地面为腐朽植物的）沼泽（地区）|
bogey	/5bEUgI; bo^I/	n.|高尔夫球）（高手於一洞或一场应取的）标准杆数；参看|
boggy	/5bCgI; bB^I/	adj.|指土地）软而湿的|
bogie	/5bEUgI; bo^I/	n.|铁路车辆的）转向架|
bogle		n.|妖怪|
bogor		|茂物[印度尼西亚爪哇岛西部城市](音译博果尔)|
bogus	/5bEJgEs; bo^Es/	adj.|伪造的；假的|
bogy	/5bEUgI; bo^I/	n.|鬼怪（用以吓唬儿童的）；使人害怕的事物（常无理由）；吓人的东西|
boh		int.|啵(象声词)|
bohai		|渤海(位于辽东半岛与山东半岛之间)|
bohea		n.|武夷茶(一种红茶,原指产于中国武夷的上品,后来指一般红茶)|
bohr		n.|波尔|
boil	/bRIl; bRIl/	v.|煮沸；沸腾|
boil over		v.|溢出|
boina		n.|(西班牙北部地区的)扁平帽|
boing		int.|啵嘤(弹簧突然弹开或振动时所发出的声音)|
boise		|博伊西[美国爱达荷州首府]|
boite		|<法>|
bok		|globule [天]博克球状体|
boko		n.|<英俚>鼻子|
bola		n.|流星锤|
bolan		|Pass 波伦山口[巴基斯坦西部](自古就是中亚、 西南亚同南亚间的交通要冲)|
bolar		adj.|泥土的|
bold	/bEUld; bold/	adj.|自信和勇敢的；大胆的；有进取心的|
bole	/bEUl; bol/	n.|树干|
bolix		v.|把事情弄糟|
boll	/bEUl; bol/	n.|棉或亚麻的）圆荚|
bolo		n.|(菲律宾人及美军砍伐用的)大刀|
bolt	/bEUlt; bolt/	n.|门、窗等的）闩|
bolus		n.|小而圆的物块|
bomb	/bCm; bBm/	n.|炸弹|
bombe		|<法>|
bon		adj.|(=good) 好的|
bona		adj.|good好之意的|
bond	/bCnd; bBnd/	n.|具有法律效力的）书面协定或允诺；契约；合同；票据|
bonds		n.|镣铐|
bone	/bEUn; bon/	n.|骨骼；骨头|
boned		adj.|骨骼的|
boner	/5bEUnE(r); bonL/	n.|愚蠢的）错误；大错|
bones		n.|骨骼|
boney		adj.|'=bony|
bongo	/5bCNgEU; bBN^o/	n.|用手指敲打的一对）小鼓（之一）|
bonn		n.|波恩(原西德首都,位于莱茵河畔)|
bonne		n.|<法> 女佣|
bonny	/5bCnI; bBnI/	adj.|苏格兰；有吸引力的；美丽的；健美的|
bonus	/5bEUnEs; bonEs/	n.|额外津贴；奖金；红利|
bony	/5bEUnI; bonI/	adj.|骨的；似骨的|
bonza		adj.|'=bonzer|
bonze		n.|(佛教的)和尚|
boo	/bu:; bu/	n.|呸（表示不赞成或唾弃）|
boob	/bu:b; bub/	n.|愚蠢的）错误|
booby	/5bu:bI; bubI/	n.|旧；笨人|
book	/bUk; bJk/	n.|书；书籍|
booky		adj.|'=bookish|
boom	/bu:m; bum/	v.|发出深沉、有回响的声音|
boon	/bu:n; bun/	n.|旧；请求；恩惠（尤与下列动词连用）|
boong		n.|原住民|
boor	/bUE(r), bR:(r); bJr/	n.|粗鲁、无礼或不灵敏的人|
boost	/bu:st; bust/	v.|增强（某事物）的力量；提高（某事物）的价值；帮助；鼓励；促进（某人[某事物]）|
boot	/bu:t; but/	n.|靴子|
booth	/bu:T; ?@ bu:W; buW/	n.|售货摊；摊位|
boots		n.|擦靴人|
booty	/5bu:tI; butI/	n.|赃物；战利品；掠夺物|
booze	/bu:z; buz/	v.|喝酒（尤指大量）|
boozy		adj.|好喝酒的；酒量大的；喝醉的|
bop		n.|<英>(旅馆中的)爵士音乐|
bora		n.|吹袭亚德里亚海沿岸的季节性东北冷风|
borah		n.|'=bora|
borak		n.|<澳>嬉弄|
borax	/5bR:rAks; bRrEks/	n.|硼砂；月石|
border		n.|边界|
bore	/bR:(r); bRr/	v.|挖；掘；钻；开凿（洞、井、隧道等）|
bored		adj.|无聊的|
boree		n.|<澳>[植]垂枝相思树 粉绿相思树[澳洲土著语]|
borer		n.|钻孔者|
boric	/5bR:rIk; bRrIk/	adj.|硼的；含硼的|
boring		adj.|无聊的|
born	/bR:n; bRrn/	v.|仅用於被动语态；不与；连用|
born with a silver spoon in one's mouth		adj.|出身富贵|
borne		vbl.|bear的过去分词|
boron	/5bR:rCn; bRrBn/	n.|硼；见附录|
borough		n.|自治市|
borrow	/5bCrEU; bBro/	v.|借；借用|
bors		n.|鲍斯爵士(亚瑟王传奇的圆桌骑士之一,兰斯洛特爵士之侄)|
bort		n.|[矿]圆粒金刚钻|
bortz		n.|'=bort|
bose		vt.|用撞杆叩(地)以听声(考古中使用的一种测试方法)|
bosh	/bCF; bBF/	n.|废话；胡说|
bosie		n.|<澳>=googly|
bosk		n.|丛林|
bosky		adj.|矮林丛生的|
bosom	/5bUzEm; bJzEm/	n.|人的）胸部；尤指女子的）乳房|
boson		n.|[物]玻色子|
boss	/bCs; bBs/	n.|老板；经理；上司；工头；领班|
bossy		adj.|爱发号施令的；爱指使人的；专横的；飞扬跋扈的|
bosun		n.|(=boatswain)商船甲板长|
bot		n.|肤蝇的幼虫|
botan		|botanical|
botany		n.|植物学|
botb		|British Overseas Trade Board 英国海外贸易局|
botch	/bCtF; bBtF/	v.|笨手笨脚地）弄坏某事物；把某物修理得很糟|
botel		n.|'=boatel|
both	/bEUW; boW/	adj.|两者的；pron.|两者|
both and		conj.|既……又|
both sides		n.|双方|
bother		v.|打扰|
bothy		n.|茅屋|
bott		n.|肤蝇的幼虫|
bottle	/5bCtl; bBtl/	n.|瓶子|
bottom	/5bCtEm; bBtEm/	n.|通常作；物体最低的部分或最低点|
bough	/baU; baJ/	n.|树的）主枝|
boule		n.|[希腊]议会|
boult		n.|筛子|
bounce		v.|弹跳|
bound	/baUnd; baJnd/	v.|通常用於被动语态；形成（某事物）的界线；限制|
boundary		n.|边界|
bourg		n.|村镇|
bourn		n.|小溪|
bout	/baUt; baJt/	n.|一回；一次；一阵|
bovid		adj.|牛科的|
bow	/bEU; bo/	n.|射箭用的）弓|
bowed		adj.|弯如弓的|
bowel	/5baUEl; baJEl/	n.|除用作医学名词及修饰语外；通常作|
bower	/5baUE(r); baJL/	n.|树林或花园中的）荫凉处；凉棚；凉亭|
bowie		n.|猎刀之一种|
bowl	/bEUl; bol/	n.|尤用以构成复合词；碗；碟|
bowls		n.|保龄球|
box	/bCks; bBks/	n.|尤用以构成复合词；盒；匣；箱|
boxer		n.|拳击者；尤指）拳击运动员|
boxty		n.|<爱尔兰>(用磨碎的生马铃薯和面粉制成的)马铃薯面包|
boxy		adj.|箱子般四四方方的|
boy	/bRI; bRI/	n.|男孩；儿子|
boyd		n.|博伊德(m.)|
boyg		n.|无形(或无所不在)的障碍(或问题、敌人)|
boyla		n.|<澳>土著巫师[澳洲土著语]|
boz		|博兹(Charles Dickens的笔名)|
bp	/9bi: 5pi:; 9bi pi/	abbr.|英国石油公司|
bpa		|国际权威发行量认证机构|
bpas		|British Pregnancy Advisory Service 英国孕期咨询服务处|
bpc	/9bi: pi: 5si:; 9bi pi si/	abbr.|化学产品标签）英国副药典|
bpd		|barrels per day 桶[日(用于表示石油产量等)|
bpi		|bytes per inch,字节/英寸,每英寸字节数。|
bps		|bits per second 比特/秒;bits per second,位/秒,每秒位数。|
br	/9bi: 5B:(r); 9bi Br/	abbr.|英国铁路公司|
bra		n.|(=brassiere)乳罩|
brace	/breIs; bres/	n.|夹具；支架；支撑之物；参看|
brach		n.|<古>雌猎犬|
brack		n.|<爱尔兰>果子面包|
bract	/brkt; brAkt/	n.|苞|
brad	/brd; brAd/	n.|角钉；无头钉（无头或头很小的）|
brae	/breI; bre/	n.|苏格兰；陡坡；山坡|
brag	/brAg; brA^/	v.|吹嘘（某事物）；自夸|
brage		n.|'=Bragi|
bragi		n.|(北欧神话)布拉吉(诗歌和音乐之神)|
braid	/breId; bred/	n.|穗带（由丝线、棉线等编织而成；用作衣物和料子的装饰）|
brail		n.|卷帆索|
brain	/breIn; bren/	n.|脑|
brake	/breIk; brek/	n.|制动器；闸；刹车|
braky		adj.|多刺丛的|
bran	/brn; brAn/	n.|糠；麸；参看|
branch		n.|树枝|
brand	/brnd; brAnd/	n.|商品的牌子；商标|
brant		n.|黑雁|
brash	/brF; brAF/	adj.|指人、态度等）粗鲁而自信的；盛气凌人的；自以为是的|
brass	/brB:s; ?@ brs; brAs/	n.|黄铜|
brat	/brAt; brAt/	n.|孩子；尤指）顽童|
brava		int.|[向女性喝彩时用]好啊!|
brave	/breIv; brev/	adj.|指人）勇敢的；无畏的；有勇气的|
bravery		n.|勇敢|
bravo	/9brB:5vEU; brBvo/	n.|喝采声（尤用以称赞演员或表演者）|
braw		adj.|服饰华美的|
brawl	/brR:l; brRl/	n.|大声争吵；打架|
brawn	/brR:n; brRn/	n.|强壮的肌肉；强健的体力|
braxy		n.|羊炭疽|
bray	/breI; bre/	n.|驴叫声；似驴叫的声音|
braze		vt.|[冶]铜焊|
brcs		|British Red Cross Society英国红十字会|
brd		|<德> Bundesrepublik Deutschland 德意志联邦共和国(=FederalRepublic of Germany)|
bre		|Bachelor of Religious Education宗教教育学士|
breach		n.|违反|
bread	/bred; brZd/	n.|面包|
breadth		n.|宽度|
break	/breIk; brek/	v.|指完整物体）破；碎；断（非切割所致）|
break away from		v.|脱离|
break down		v.|出故障；分解|
break in		v.|闯入|
break into		v.|闯入|
break off		v.|中断；折断|
break one's promise		v.|失信|
break out		v.|爆发|
break the ice		v.|打破僵局|
break the law		v.|违法|
break the record		v.|打破纪录|
break through		v.|突破|
break up		v.|分手；打碎|
breakfast	/5brekfEst; brZkfEst/	n.|一天的第一顿饭；早餐；早饭|
bream	/bri:m; brim/	n.|不变|
breast		n.|乳房|
breath		n.|呼吸|
breathe		v.|呼吸|
bred		vbl.|breed的过去式和过去分词|
brede		n.|编带|
bree		n.|清汤|
breed	/bri:d; brid/	v.|指动物）生育；繁殖|
breen		n.|褐绿色|
breeze		n.|微风|
bren		|carrier(运载布伦式轻机枪及机枪手的)履带式小型装甲车|
brent		n.|[动]黑雁|
brer		n.|兄弟|
brett		n.|布雷特(m.)|
breve	/bri:v; briv/	n.|音；倍全音符；二全音符|
brew	/bru:; bru/	v.|酿造（啤酒）|
bri		|Basic Rate Interference,基本速率干扰;Basic Rate Interface,基本速率接口|
brian		n.|布赖恩(亦作Bryan)(m.)|
briar		n.|[植] 石南|
bribe	/braIb; braIb/	n.|贿赂|
brice		n.|布赖斯(亦作Bryce)(m.)|
brick	/brIk; brIk/	n.|通常指长方形的）砖；坯|
bride	/braId; braId/	n.|新娘；新婚的妇女|
bridegroom		n.|新郎|
bridge	/brIdV; brIdV/	n.|桥梁|
brie	/bri:; bri/	n.|布里乾酪（一种柔软的法国乾酪）|
brief	/bri:f; brif/	adj.|时间短暂的；简短的|
brier	/5braIE(r); braIL/	n.|荆棘；野玫块|
brig	/brIg; brI^/	n.|方帆双桅船|
bright	/braIt; braIt/	adj.|发光的；反光的；明亮的|
brill	/brIl; brIl/	n.|菱|
brilliant		adj.|杰出的|
brim	/brIm; brIm/	n.|杯、碗等的）边；边缘|
brine	/braIn; braIn/	n.|盐水（尤作腌泡用的）|
bring	/brIN; brIN/	v.|带来；引起|
bring about		v.|引起；导致|
bring an end to		v.|结束|
bring back		v.|带回；使恢复|
bring down		v.|降低；击落|
bring forward		v.|提出；提前|
bring home the bacon		v.|养家糊口|
bring in		v.|引进；赚得|
bring into being		v.|使产生|
bring into effect		v.|实施|
bring into use		v.|投入使用|
bring out		v.|出版；使显现|
bring to an end		v.|结束|
bring to life		v.|使苏醒|
bring to light		v.|揭露|
bring to mind		v.|使想起|
bring up		v.|抚养；提出|
brink	/brINk; brINk/	n.|通常作；陡峭处；如峭壁顶端的）边缘|
briny		adj.|咸的；旧；谑；海|
brio		n.|元气充沛|
brisk	/brIsk; brIsk/	adj.|敏捷的；活泼的；精神饱满的|
brit	/brIt; brIt/	n.|尤作戏谑语或作义；英国人|
britt		n.|'=brit|
brittle		adj.|易碎的|
brix		adj.|白利糖度的|
brize		n.|[昆]牛虻|
brno		|布尔诺[捷克斯洛伐克中部城市]|
broad	/brR:d; brRd/	adj.|宽的；阔的；广的|
broadcast		v.|广播|
broch		n.|(在苏格兰北部及其附近岛屿上发现的)史前圆形石塔|
brock		n.|[动]獾|
broil	/brRIl; brRIl/	v.|在火上或铁架上）烧烤（肉类）；炙|
broke	/brEUk; brok/	adj.|没有钱；一个子儿也没有；破产|
broken		adj.|破碎的|
broma		n.|去油可可豆|
brome		n.|[植]雀麦草|
bromo		n.|止头痛药|
bronc		n.|北美西部产的野马|
bronx		n.|布朗克斯(纽约市最北端的一区,鸡尾酒的一种)|
bronze		n.|青铜|
brood	/bru:d; brud/	n.|一窝孵出的）幼鸟；一次产出的）动物|
brook	/brUk; brJk/	n.|小溪|
broom	/bru:m; brum/	n.|金雀花（多生长於沙地）|
bros		abbr.|商|
brose		n.|麦片汤|
broth	/brCW; ?@ brR:W; brRW/	n.|煮肉、鱼或蔬菜的）清汤；原汤；高汤|
brother	/5brQTE(r); brQTL/	n.|兄；弟|
brow	/braU; braJ/	n.|通常作|
brown	/braUn; braJn/	adj.|褐色的；棕色的|
brrr		int.|[表示冷颤或领悟]呵|
brs		|British Road Services 英国道路服务处|
bruce		n.|布鲁斯(男子名)|
bruin		n.|(神话故事中的)熊|
bruise		n.|瘀伤|
bruit	/bru:t; brut/	v.|或谑；散布（谣言或传言）|
brule		n.|火烧后的森林|
brum		|<英口>伯明翰[英国英格兰中部城市](=Birmingham)|
brume		n.|雾|
bruno		n.|布鲁诺(m.)|
brunt	/brQnt; brQnt/	n.|习语|
brusa		|'=Bursa|
brush	/brQF; brQF/	n.|用鬃毛、金属丝、尼龙等制造的）刷子；画笔；毛笔|
brush up		v.|复习；提高|
brut		adj.|(香槟酒)极干的|
brutal		adj.|残忍的|
brute	/bru:t; brut/	n.|野兽（尤指巨大或凶猛的）|
bryce		|Canyon National Park (美国)布赖斯峡谷国家公园(在犹他州南部)|
bs	/9bi: 5es; 9bi Zs/	abbr.|理学士|
bsaa		|Bachelor of Science in Applied Arts 应用文科学士|
bsb		|Bachelor of Science in Business 商学士|
bsc	/9bi: es 5si:; 9bi Zs si/	abbr.|理学士|
bscp		|Brotherhood of Sleeping Car Porters (美国)卧车列车员兄弟会|
bsd		|Berkly Software Distribution,加州大学柏克利分校软件|
bsi	/9bi: es 5aI; 9bi Zs aI/	abbr.|英国标准学会|
bsn		|Bachelor of Science in Nursing 护理学士|
bso		|blue stellar object|
bss		|British Standard Specification (s) 英国标准(技术)规格|
bst	/9bi: es 5ti:; 9bi Zs ti/	abbr.|英国夏令时间；参看|
bt		abbr.|詹姆士；海德；斯坦利准男爵|
bta	/9bi: ti: 5eI; 9bi ti e/	abbr.|英国旅游管理局|
bthu		abbr.|英国热量单位|
btm		|bottom <婉><谑>臀部|
bto		|Big Time Operator,一流人物|
btu		|British Thermal Unit ,英国热量单位|
btw		|By The Way,顺便(说一句)|
bub		n.|<美口>小弟弟|
bubal		n.|[动] (北非产的)狷羚|
bubble		n.|气泡|
bubby		n.|乳房|
bubo		n.|[医]腹股沟腺炎|
bubu		n.|'=boubou|
buck	/bQk; bQk/	n.|或不变 或作；雄鹿；雄兔；参看|
bucket		n.|水桶|
buckle down		v.|埋头苦干|
bucko		n.|欺凌弱小者|
bud	/bQd; bQd/	n.|花蕾；枝叶的）芽|
buddy	/5bQdI; bQdI/	n.|朋友|
budge	/bQdV; bQdV/	v.|通常用於否定句|
budget		n.|预算|
budo		n.|(空手道、合气道、剑道等)日本武术|
buea		|布埃亚[喀麦隆西部城市]|
buff	/bQf; bQf/	n.|柔韧的暗黄色的皮革；暗黄色|
buffalo		n.|水牛|
buffo		n.|<意>(歌剧中)演滑稽角色的男低音歌手|
bug	/bQg; bQ^/	n.|臭虫|
buggy	/5bQgI; bQ^I/	n.|坚固的）小机动车|
bugle	/5bju:gl; bju^l/	n.|军号；见附录；之插图|
bugs		adj.|疯狂的|
buhl		n.|镶嵌细工|
buhr		n.|硅质磨石|
buic		|Backup Interceptor Control (美国空军)后援截击机控制系统|
build	/bIld; bIld/	v.|建造；建立；发展|
build up		v.|建立；增强|
building	/5bIldIN; bIldIN/	n.|建筑（的艺术或行业）|
built		|用於副词之後或用以构成复合形容词；有某种体形的|
bulb	/bQlb; bQlb/	n.|见插图|
bulge	/bQldV; bQldV/	n.|鼓起；凸出|
bulgy		adj.|膨胀的|
bulk	/bQlk; bQlk/	n.|体积；数量；容量（尤指巨大的）|
bulky		adj.|庞大的；巨大的；笨重的|
bull	/bUl; bJl/	n.|未阉割的）公牛|
bulla		n.|垂饰|
bullet		n.|子弹|
bulletin		n.|公告|
bulli		n.|<澳>(用以铺高级板球场的)布利土(布利为澳大利亚一市镇名)|
bully	/5bUlI; bJlI/	n.|恃强凌弱的人|
bum	/bQm; bQm/	n.|屁股|
bumbo		n.|羼入糖酒的|
bumf	/bQmf; bQmf/	n.|俚；谑或；纸；尤指）公；表格；件|
bump	/bQmp; bQmp/	v.|碰撞或敲击某物（发出低沉响声）；与某物相撞|
bumph		n.|(同bumf) <英俚>公文|
bumpy		adj.|表面不平的；崎岖不平的|
bun	/bQn; bQn/	n.|小而圆的甜面包或点心|
buna		n.|[化]丁纳橡胶|
bunch	/bQntF; bQntF/	n.|串；束；卷；团|
bunco		n.|欺诈|
bund		n.|东亚各国之堤岸|
bundle		n.|捆|
bundu		n.|<南非>未开化的乡区 未开发的地方 荒野|
bung	/bQN; bQN/	n.|桶或罐的）盖子；塞子|
bunk	/bQNk; bQNk/	n.|架设於壁上的）狭窄铺位（如於船上的）|
bunko		n.|诈骗的输赢|
bunny	/5bQnI; bQnI/	n.|用作儿语；兔子|
buns		pl.|(人的)屁股|
bunt		n.|顶撞|
buoy	/bRI; bRI/	n.|浮标；航标|
bup		|British United Press英国合众社|
bur	/b\:(r); b/	n.|刺蒺藜（易附著於毛发或衣服上）|
buran		n.|(中亚、西伯利亚的冬带冰雪、夏带飞沙的)布冷风|
burb		n.|<美俚>=suburb|
burden		n.|负担|
bure		|<斐济语>|
bureau		n.|局|
buret		n.|滴定管|
burg		n.|有围墙(或城堡)的城|
burgh	/5bQrE; bQrE/	n.|苏格兰；享有特权的自治城镇；自治市|
burglar		n.|窃贼|
burial		n.|埋葬|
burin		n.|冰凿|
burka		n.|(穆斯林女子在公众场合下穿的)蒙住全身(只留眼睛)的长袍|
burke		v.|避免|
burl		n.|节|
burly	/5b\:lI; b[lI/	adj.|身强力壮的；魁梧的；结实的；健壮的|
burma		n.|缅甸(东南亚国家)|
burn	/b\:n; b[n/	n.|苏格兰；小溪；小河|
burn away		v.|烧掉|
burn down		v.|烧毁|
burn one's boats		v.|破釜沉舟|
burn out		v.|烧尽；精疲力竭|
burn the midnight oil		v.|开夜车|
burn to the ground		v.|烧成平地|
burns		n.|<美>络腮胡子|
burnt		adj.|有烧痕的；烧坏的；烧伤的|
burny		adj.|燃烧的|
burp	/b\:p; b[p/	n.|嗝；饱嗝|
burr	/b\:(r); b/	n.|通常作|
burra		|大人(印度人对家长、军官、首长等的尊称)|
burro		n.|[动]驴子(尤指美国西南部用作驮畜的驴)|
burry		adj.|芒刺多的|
bursa		n.|囊|
burse		n.|钱包|
